name,price,image_link,product_url
Barret,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fm1565
Lydia,$19.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2436
Mark,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/sm0937
Debby,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fz1767
Modesto,$24.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fm1654
Annabelle,$24.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2086
Taurus,$24.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2043
Haywood,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fm1354
Celia,$19.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fm1387
Poppy,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fz1032
Hannah,$24.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2514
Evanston,$24.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/sup0791
Gulfport,$19.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2106
Libra,$24.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2047
Lindsay,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fz1382
Bronx,$12.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp1979
Toledo,$24.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fm1405
Lyndon,$19.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fm1286
Bruno,$19.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp1506
Prince,$19.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp1438
Fresno,$12.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2036
Riverside,$19.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fm1385
Burke,$24.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fm1243
Joplin,$24.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fz1491
Hedy,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fz1608
Walnut,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/sup0821
Flushing,$12.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp1972
Water,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2468
Abina,$19.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp1938
Miami,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fz1391
Althea,$19.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2111
Oberlin,$19.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2035
Prairie,$34.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fz1461
Naperville,$12.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2191
Murphy,$39.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp1747
Pasadena,$12.48,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2520
Indianapolis,$9.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2158
Alberta,$9.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2319
Worcester,$24.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2484
Annabel,$39.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/ft0304
Denise,$24.94,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2299
Dominic,$12.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2149
Joni,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2024
Asheville,$12.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp1992
Bray,$12.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp1923
Uvalde,$9.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/sup1073
Owensboro,$12.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2195
Pete,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fz1207
Amelia,$34.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fm1469
